,Label,NN,NN_RULE,RULE,support
0,:Cause-of,0.114285714,0,0,4
1,:Material-of,0,0,0,1
2,:cause,0.64,0.757575758,0.766666667,53
3,:condition,1,1,1,16
4,:goal,0.893939394,0.949152542,0.949152542,59
5,:group,0.606635071,0.935779817,0.928229665,109
6,:material,0.181818182,0.64516129,0.591304348,43
7,:mod,0.957983193,0.948275862,0.957983193,58
8,:other-role,0,0.333333333,0,3
9,:part,0.651515152,0.774774775,0.757281553,59
10,:reason,0,0.6,0.682926829,46
11,:recipient,0,0.846153846,0.846153846,12
12,:source,0.753926702,0.685082873,0.686046512,90
13,:start,0.206896552,0.212121212,0.314285714,34
14,accuracy,0.62350937,0.773424191,0.773424191,
15,macro avg,0.429071426,0.620529379,0.605716491,587
16,weighted avg,0.589354816,0.766999299,0.772534023,587
